,Malg (ppb),ext_coeff (m-1) (cloudy sky),ext_coeff (m-1) (clear sky)
0,0.0,3.414375994548845,4.29670453137686
1,1000.0,3.538750463745941,4.414574015278924
2,2000.0,3.663124775630977,4.5324433500965995
3,5000.0,4.036246767416704,4.88605046004614
4,7500.0,4.3471806790589245,5.180722026723055
5,10000.0,4.65811360751289,5.475392661634048
6,12500.0,4.969045552783266,5.770062364783535
7,15000.0,5.279976514874713,6.064731136175941
8,17500.0,5.590906493791893,6.359398975815678
9,20000.0,5.901835489539476,6.654065883707171
10,22500.0,6.212763502122119,6.948731859854837
11,25000.0,6.523690531544487,7.243396904263096
