,const,density,dz,zenith,algae
0,1.0,400,0.05,30,0
1,1.0,400,0.05,30,5000
2,1.0,400,0.05,30,7000
3,1.0,400,0.05,30,11000
4,1.0,400,0.05,30,13000
5,1.0,400,0.05,30,15000
6,1.0,400,0.05,30,20000
7,1.0,400,0.05,40,0
8,1.0,400,0.05,40,5000
9,1.0,400,0.05,40,7000
10,1.0,400,0.05,40,11000
11,1.0,400,0.05,40,13000
12,1.0,400,0.05,40,15000
13,1.0,400,0.05,40,20000
14,1.0,400,0.05,50,0
15,1.0,400,0.05,50,5000
16,1.0,400,0.05,50,7000
17,1.0,400,0.05,50,11000
18,1.0,400,0.05,50,13000
19,1.0,400,0.05,50,15000
20,1.0,400,0.05,50,20000
21,1.0,400,0.05,60,0
22,1.0,400,0.05,60,5000
23,1.0,400,0.05,60,7000
24,1.0,400,0.05,60,11000
25,1.0,400,0.05,60,13000
26,1.0,400,0.05,60,15000
27,1.0,400,0.05,60,20000
28,1.0,400,0.05,70,0
29,1.0,400,0.05,70,5000
30,1.0,400,0.05,70,7000
31,1.0,400,0.05,70,11000
32,1.0,400,0.05,70,13000
33,1.0,400,0.05,70,15000
34,1.0,400,0.05,70,20000
35,1.0,400,0.05,80,0
36,1.0,400,0.05,80,5000
37,1.0,400,0.05,80,7000
38,1.0,400,0.05,80,11000
39,1.0,400,0.05,80,13000
40,1.0,400,0.05,80,15000
41,1.0,400,0.05,80,20000
42,1.0,500,0.05,30,0
43,1.0,500,0.05,30,5000
44,1.0,500,0.05,30,7000
45,1.0,500,0.05,30,11000
46,1.0,500,0.05,30,13000
47,1.0,500,0.05,30,15000
48,1.0,500,0.05,30,20000
49,1.0,500,0.05,40,0
50,1.0,500,0.05,40,5000
51,1.0,500,0.05,40,7000
52,1.0,500,0.05,40,11000
53,1.0,500,0.05,40,13000
54,1.0,500,0.05,40,15000
55,1.0,500,0.05,40,20000
56,1.0,500,0.05,50,0
57,1.0,500,0.05,50,5000
58,1.0,500,0.05,50,7000
59,1.0,500,0.05,50,11000
60,1.0,500,0.05,50,13000
61,1.0,500,0.05,50,15000
62,1.0,500,0.05,50,20000
63,1.0,500,0.05,60,0
64,1.0,500,0.05,60,5000
65,1.0,500,0.05,60,7000
66,1.0,500,0.05,60,11000
67,1.0,500,0.05,60,13000
68,1.0,500,0.05,60,15000
69,1.0,500,0.05,60,20000
70,1.0,500,0.05,70,0
71,1.0,500,0.05,70,5000
72,1.0,500,0.05,70,7000
73,1.0,500,0.05,70,11000
74,1.0,500,0.05,70,13000
75,1.0,500,0.05,70,15000
76,1.0,500,0.05,70,20000
77,1.0,500,0.05,80,0
78,1.0,500,0.05,80,5000
79,1.0,500,0.05,80,7000
80,1.0,500,0.05,80,11000
81,1.0,500,0.05,80,13000
82,1.0,500,0.05,80,15000
83,1.0,500,0.05,80,20000
84,1.0,600,0.05,30,0
85,1.0,600,0.05,30,5000
86,1.0,600,0.05,30,7000
87,1.0,600,0.05,30,11000
88,1.0,600,0.05,30,13000
89,1.0,600,0.05,30,15000
90,1.0,600,0.05,30,20000
91,1.0,600,0.05,40,0
92,1.0,600,0.05,40,5000
93,1.0,600,0.05,40,7000
94,1.0,600,0.05,40,11000
95,1.0,600,0.05,40,13000
96,1.0,600,0.05,40,15000
97,1.0,600,0.05,40,20000
98,1.0,600,0.05,50,0
99,1.0,600,0.05,50,5000
100,1.0,600,0.05,50,7000
101,1.0,600,0.05,50,11000
102,1.0,600,0.05,50,13000
103,1.0,600,0.05,50,15000
104,1.0,600,0.05,50,20000
105,1.0,600,0.05,60,0
106,1.0,600,0.05,60,5000
107,1.0,600,0.05,60,7000
108,1.0,600,0.05,60,11000
109,1.0,600,0.05,60,13000
110,1.0,600,0.05,60,15000
111,1.0,600,0.05,60,20000
112,1.0,600,0.05,70,0
113,1.0,600,0.05,70,5000
114,1.0,600,0.05,70,7000
115,1.0,600,0.05,70,11000
116,1.0,600,0.05,70,13000
117,1.0,600,0.05,70,15000
118,1.0,600,0.05,70,20000
119,1.0,600,0.05,80,0
120,1.0,600,0.05,80,5000
121,1.0,600,0.05,80,7000
122,1.0,600,0.05,80,11000
123,1.0,600,0.05,80,13000
124,1.0,600,0.05,80,15000
125,1.0,600,0.05,80,20000
126,1.0,700,0.05,30,0
127,1.0,700,0.05,30,5000
128,1.0,700,0.05,30,7000
129,1.0,700,0.05,30,11000
130,1.0,700,0.05,30,13000
131,1.0,700,0.05,30,15000
132,1.0,700,0.05,30,20000
133,1.0,700,0.05,40,0
134,1.0,700,0.05,40,5000
135,1.0,700,0.05,40,7000
136,1.0,700,0.05,40,11000
137,1.0,700,0.05,40,13000
138,1.0,700,0.05,40,15000
139,1.0,700,0.05,40,20000
140,1.0,700,0.05,50,0
141,1.0,700,0.05,50,5000
142,1.0,700,0.05,50,7000
143,1.0,700,0.05,50,11000
144,1.0,700,0.05,50,13000
145,1.0,700,0.05,50,15000
146,1.0,700,0.05,50,20000
147,1.0,700,0.05,60,0
148,1.0,700,0.05,60,5000
149,1.0,700,0.05,60,7000
150,1.0,700,0.05,60,11000
151,1.0,700,0.05,60,13000
152,1.0,700,0.05,60,15000
153,1.0,700,0.05,60,20000
154,1.0,700,0.05,70,0
155,1.0,700,0.05,70,5000
156,1.0,700,0.05,70,7000
157,1.0,700,0.05,70,11000
158,1.0,700,0.05,70,13000
159,1.0,700,0.05,70,15000
160,1.0,700,0.05,70,20000
161,1.0,700,0.05,80,0
162,1.0,700,0.05,80,5000
163,1.0,700,0.05,80,7000
164,1.0,700,0.05,80,11000
165,1.0,700,0.05,80,13000
166,1.0,700,0.05,80,15000
167,1.0,700,0.05,80,20000
168,1.0,800,0.05,30,0
169,1.0,800,0.05,30,5000
170,1.0,800,0.05,30,7000
171,1.0,800,0.05,30,11000
172,1.0,800,0.05,30,13000
173,1.0,800,0.05,30,15000
174,1.0,800,0.05,30,20000
175,1.0,800,0.05,40,0
176,1.0,800,0.05,40,5000
177,1.0,800,0.05,40,7000
178,1.0,800,0.05,40,11000
179,1.0,800,0.05,40,13000
180,1.0,800,0.05,40,15000
181,1.0,800,0.05,40,20000
182,1.0,800,0.05,50,0
183,1.0,800,0.05,50,5000
184,1.0,800,0.05,50,7000
185,1.0,800,0.05,50,11000
186,1.0,800,0.05,50,13000
187,1.0,800,0.05,50,15000
188,1.0,800,0.05,50,20000
189,1.0,800,0.05,60,0
