,density (kg m^-3),zenith (deg),algae (ppb),BBA
0,300,40,0,0.7087839418178071
1,300,40,1000,0.7013824134920893
2,300,40,5000,0.6777200280049608
3,300,40,7500,0.6659531378625971
4,300,40,10000,0.6556423350967734
5,300,40,12500,0.6464077678178528
6,300,40,1500,0.6979630304328217
7,300,45,0,0.7123843804756311
8,300,45,1000,0.7051250170057638
9,300,45,5000,0.6818807523790393
10,300,45,7500,0.6703013161193211
11,300,45,10000,0.6601437814202045
12,300,45,12500,0.6510379212721661
13,300,45,1500,0.7017694780621566
14,300,50,0,0.7163109407220352
15,300,50,1000,0.7092100145974265
16,300,50,5000,0.686431117247963
17,300,50,7500,0.6750600134151168
18,300,50,10000,0.6650726710440671
19,300,50,12500,0.6561096226598935
20,300,50,1500,0.7059255932284565
21,300,55,0,0.7204992700371802
22,300,55,1000,0.7135736426072998
23,300,55,5000,0.691308802250407
24,300,55,7500,0.9213703317354816
25,300,55,10000,0.6703675189808257
26,300,55,12500,0.6615616164701087
27,300,55,1500,0.7103678608824017
28,300,60,0,0.7248448131876446
29,300,60,1000,0.7181127616568541
30,300,60,5000,0.696414553947521
31,300,60,7500,0.6855258521691766
32,300,60,10000,0.6759319217968719
33,300,60,12500,0.667298503395373
34,300,60,1500,0.7149937621564808
35,350,40,0,0.6936242652169883
36,350,40,1000,0.6853456890460244
37,350,40,5000,0.6590655691526207
38,350,40,7500,0.6460919478683902
39,350,40,10000,0.6347713526197102
40,350,40,12500,0.6246686804143508
41,350,40,1500,0.6815310320967993
42,350,45,0,0.6973657199509858
43,350,45,1000,0.6892427788226674
44,350,45,5000,0.6634140975341952
45,350,45,7500,0.6506394671651524
46,350,45,10000,0.639479758368354
47,350,45,12500,0.6295107689100969
48,350,45,1500,0.6854976755863372
49,350,50,0,0.7014466053227503
50,350,50,1000,0.6934970600210576
51,350,50,5000,0.6681705869456827
52,350,50,7500,0.6556169501675633
53,350,50,10000,0.6446357309936025
54,350,50,12500,0.6348149123050447
55,350,50,1500,0.689829405994795
56,350,55,0,0.7058005643963463
57,350,55,1000,0.6980427475672669
58,350,55,5000,0.6732705256565489
59,350,55,7500,0.6609602439468744
60,350,55,10000,0.6501753049084291
61,350,55,12500,0.6405172242377445
62,350,55,1500,0.6944606727716662
63,350,60,0,0.7103192011864554
64,350,60,1000,0.7027728669622857
65,350,60,5000,0.6786106451810822
66,350,60,7500,0.6665674950678817
67,350,60,10000,0.6559976630010571
68,350,60,12500,0.6465176719202709
69,350,60,1500,0.699285114004212
70,400,40,0,0.6780799975948071
71,400,40,1000,0.6690710448584817
72,400,40,5000,0.6404754635759188
73,400,40,7500,0.6263927992554071
74,400,40,10000,0.6141363215965326
75,400,40,12500,0.603228616084106
76,400,40,1500,0.6649183617254013
77,400,45,0,0.681964475498412
78,400,45,1000,0.6731200618895243
79,400,45,5000,0.6449987227766932
80,400,45,7500,0.6311222988311832
81,400,45,10000,0.6190303503364151
82,400,45,12500,0.6082570333877565
83,400,45,1500,0.6690408040746154
84,400,50,0,0.6862133857215835
85,400,50,1000,0.6775526389182371
86,400,50,5000,0.6499606481090175
87,400,50,7500,0.6363147992950079
88,400,50,10000,0.6244074221043232
89,400,50,12500,0.6137858858548775
90,400,50,1500,0.6735553285664072
91,400,55,0,0.6907482543149601
92,400,55,1000,0.6822904497222362
93,400,55,5000,0.9135732174058501
94,400,55,7500,0.641889821165151
95,400,55,10000,0.6301850766444147
96,400,55,12500,0.6197299146725236
97,400,55,1500,0.678383618188771
98,400,60,0,0.6954583759995332
99,400,60,1000,0.6872241302468565
100,400,60,5000,0.6608570317414176
101,400,60,7500,0.6477424320251083
102,400,60,10000,0.636259126368701
103,400,60,12500,0.6259854264535077
104,400,60,1500,0.6834168771689294
105,450,40,0,0.9379507532782947
106,450,40,1000,0.6514768503137838
107,450,40,5000,0.6211010056158852
108,450,40,7500,0.6060620649499878
109,450,40,10000,0.5929691189650382
110,450,40,12500,0.5813278388988762
111,450,40,1500,0.6470897188072132
112,450,45,0,0.6650299541000085
113,450,45,1000,0.6557220267200286
114,450,45,5000,0.6258318522866793
115,450,45,7500,0.6110050618994807
116,450,45,10000,0.5980813777365356
117,450,45,12500,0.5865785145850922
118,450,45,1500,0.6514097032861028
119,450,50,0,0.669482205523092
120,450,50,1000,0.6603600427829075
121,450,50,5000,0.8964636910556185
122,450,50,7500,0.6164182011349874
123,450,50,10000,0.6036819895328188
124,450,50,12500,0.5923322329780013
125,450,50,1500,0.6561309608366901
126,450,55,0,0.6742390050685552
127,450,55,1000,0.6653219357699273
128,450,55,5000,0.6365661774887846
129,450,55,7500,0.62223311323169
130,450,55,10000,0.6097023847432563
131,450,55,12500,0.5985201286884904
132,450,55,1500,0.6611846823272001
133,450,60,0,0.6791864044922625
134,450,60,1000,0.6704949003438919
135,450,60,5000,0.6423911376525011
136,450,60,7500,0.6283403529436467
137,450,60,10000,0.6160334916675234
138,450,60,12500,0.605033269217483
139,450,60,1500,0.666458537973409
