dz,density,zenith,algae,BBA,abs
0.05,400,30,0,0.1387042155716908,87.35667985053286
0.05,400,30,5000,0.13438549075283887,95.82549236053158
0.05,400,30,7000,0.1327450864741882,99.08836617331974
0.05,400,30,11000,0.12960217007884325,105.41806543189841
0.05,400,30,13000,0.1280952768634861,108.49261051715942
0.05,400,30,15000,0.1266379722072705,111.47922244397498
0.05,400,30,20000,0.12313847895296774,118.79923977700555
0.05,400,40,0,0.1535687832775758,79.91324426272313
0.05,400,40,5000,0.14873463608236162,88.17449430999773
0.05,400,40,7000,0.14689947770121475,91.3551098690391
0.05,400,40,11000,0.14338524450239729,97.52098180948009
0.05,400,40,13000,0.14170174359359236,100.51221310526732
0.05,400,40,15000,0.1400647220170853,103.44573974483343
0.05,400,40,20000,0.13616423070551464,110.54180610330606
0.05,400,50,0,0.1750228897023735,69.98611847886205
0.05,400,50,5000,0.16937997537768626,77.88496832176291
0.05,400,50,7000,0.16723999071339513,80.92243768468607
0.05,400,50,11000,0.1631456308571686,86.80478048565182
0.05,400,50,13000,0.16118597700663076,89.65548368002193
0.05,400,50,15000,0.15928157333259427,92.44921946736063
0.05,400,50,20000,0.15474888043435242,99.19842576391035
0.05,400,60,0,0.20621775467754466,56.57772589241534
0.05,400,60,5000,0.199279013262041,63.84857895768222
0.05,400,60,7000,0.1966529633087524,66.63870510471324
0.05,400,60,11000,0.1916373106730475,72.03238310970026
0.05,400,60,13000,0.18924091477848284,74.64152459385058
0.05,400,60,15000,0.18691480061344684,77.19541999605619
0.05,400,60,20000,0.18138956836975234,83.35214712934251
0.05,400,70,0,0.24658522028136012,40.74590258016294
0.05,400,70,5000,0.23744078367580468,46.917904929781216
0.05,400,70,7000,0.2339960573011182,49.276231452526964
0.05,400,70,11000,0.22744257087045847,53.81857855340041
0.05,400,70,13000,0.22432384739262007,56.00777642142236
0.05,400,70,15000,0.2213045506558916,58.14533426286401
0.05,400,70,20000,0.21416531390744553,63.27628164099248
0.05,400,80,0,0.2912234839209487,21.619406618597374
0.05,400,80,5000,0.2776751481941472,25.823487372368604
0.05,400,80,7000,0.27264914382522076,27.407755555367537
0.05,400,80,11000,0.26320901913791295,30.42358621504686
0.05,400,80,13000,0.2587741753042625,31.859895804756597
0.05,400,80,15000,0.25451700444093445,33.251297745630545
0.05,400,80,20000,0.24459639798522445,36.545743824770746
0.05,500,30,0,0.15274106893706188,95.22453557863503
0.05,500,30,5000,0.1467333629305604,106.24075316708347
0.05,500,30,7000,0.1444816437865554,110.43717608208449
0.05,500,30,11000,0.1402127299337351,118.50758263639608
0.05,500,30,13000,0.13818865101532848,122.38990220194552
0.05,500,30,15000,0.13624009712557025,126.16313672886275
0.05,500,30,20000,0.1316182658829867,135.28315628912216
0.05,500,40,0,0.16868326146407375,86.69796792748576
0.05,500,40,5000,0.16198013176493994,97.42265872378186
0.05,500,40,7000,0.15946934742985852,101.50469077348765
0.05,500,40,11000,0.15471218344374169,109.34857067012356
0.05,500,40,13000,0.15245694085539763,113.12180808741218
0.05,500,40,15000,0.1502856703663061,116.78994148637628
0.05,500,40,20000,0.14514355655230093,125.63472254605637
0.05,500,50,0,0.1912430290410428,75.40924116931481
0.05,500,50,5000,0.18347260941443455,85.6227181424832
0.05,500,50,7000,0.18056547648277893,89.50501813853123
0.05,500,50,11000,0.1750628975579098,96.95650578218724
0.05,500,50,13000,0.17245694799231595,100.53674860076157
0.05,500,50,15000,0.16994954302361184,104.01471981333785
0.05,500,50,20000,0.16401955308328225,112.3873723097908
0.05,500,60,0,0.22302411068802572,60.43102988484938
0.05,500,60,5000,0.21359942964642778,69.76431240191107
0.05,500,60,7000,0.21008165590255135,73.30388392752425
0.05,500,60,11000,0.20343651967438886,80.08407833777736
0.05,500,60,13000,0.20029582208558017,83.33518774299228
0.05,500,60,15000,0.19727744821534876,86.4896514887296
0.05,500,60,20000,0.19015739226026085,94.06344571686853
0.05,500,70,0,0.26224641226464696,42.997812833738195
0.05,500,70,5000,0.250133378674632,50.823312698048284
0.05,500,70,7000,0.2456364699924247,53.776967026160825
0.05,500,70,11000,0.23718021789640528,59.41170339844071
0.05,500,70,13000,0.23320183975813294,62.10231698280496
0.05,500,70,15000,0.22938878378796865,64.70662227057103
0.05,500,70,20000,0.2204455124315264,70.92545582066606
0.05,500,80,0,0.30305724148792157,22.605681785652017
0.05,500,80,5000,0.285756958149689,27.83299311399332
