,dz,density,zenith,BBA,delA
0,0.02,300,30,0.46457469921265976,0.010476135568814049
1,0.02,300,40,0.47966501525698335,0.025566451613137642
2,0.02,300,50,0.4994790203726269,0.045380456728781216
3,0.02,300,60,0.5209309686298345,0.06683240498598875
4,0.02,300,70,0.5451614078003458,0.09106284415650012
5,0.02,300,80,0.5679493600317982,0.11385079638795248
6,0.02,400,30,0.4225843795502762,-0.031514184093569486
7,0.02,400,40,0.5355695355347063,0.08147097189086061
8,0.02,400,50,0.4596634610634423,0.005564897419596593
9,0.02,400,60,0.48249149005191727,0.02839292640807156
10,0.02,400,70,0.6135912448024833,0.15949268115863757
11,0.02,400,80,0.5327103553262131,0.07861179168236743
12,0.02,500,30,0.37556132642254075,-0.07853723722130496
13,0.02,500,40,0.3926056006510083,-0.06149296299283741
14,0.02,500,50,0.4151376313751334,-0.038960932268712334
15,0.02,500,60,0.4396256374338904,-0.014472926209955328
16,0.02,500,70,0.46737804606772865,0.013279482423882938
17,0.02,500,80,0.4939056320307667,0.039807068386920996
18,0.02,600,30,0.32095432386381134,-0.13314423978003437
19,0.02,600,40,0.33900426334388434,-0.11509430029996137
20,0.02,600,50,0.36315880111124366,-0.09093976253260205
21,0.02,600,60,0.3896494644556007,-0.06444909918824498
22,0.02,600,70,0.4198051141237295,-0.034293449520116204
23,0.02,600,80,0.4490094263909298,-0.005089137252915932
24,0.02,700,30,0.25589475769517206,-0.19820380594867365
25,0.02,700,40,0.27436793055503345,-0.17973063308881226
26,0.02,700,50,0.29984271745617874,-0.15425584618766697
27,0.02,700,60,0.32861681593680236,-0.12548174770704335
28,0.02,700,70,0.3619349159810358,-0.09216364766280993
29,0.02,700,80,0.39456304658554964,-0.05953551705829607
30,0.02,800,30,0.1781114405562,-0.2759871230876457
31,0.02,800,40,0.19437195010938324,-0.25972661353446247
32,0.02,800,50,0.2183717939111323,-0.23572676973271342
33,0.02,800,60,0.24799965627967763,-0.20609890736416808
34,0.02,800,70,0.28568581022282613,-0.16841275342101958
35,0.02,800,80,0.32411812317656186,-0.12998044046728385
36,0.02,900,30,0.09266912781704337,-0.3614294358268023
37,0.02,900,40,0.09671358937513595,-0.35738497426870974
38,0.02,900,50,0.10354879158969967,-0.35054977205414606
39,0.02,900,60,0.11404339143459997,-0.34005517220924575
40,0.02,900,70,0.1335643224641079,-0.32053424117973783
41,0.02,900,80,0.1748294871527773,-0.2792690764910684
42,0.04,300,30,0.5700083207219085,0.15851475889805078
43,0.04,300,40,0.5810857843216991,0.16959222249784134
44,0.04,300,50,0.5956138585313812,0.1841202967075234
45,0.04,300,60,0.6112237058031659,0.1997301439793081
46,0.04,300,70,0.628409753294159,0.21691619147030128
47,0.04,300,80,0.6423991832415177,0.2309056214176599
48,0.04,400,30,0.5297795108290582,0.1182859490052004
49,0.04,400,40,0.5417191584971519,0.13022559667329414
50,0.04,400,50,0.5573919357981668,0.14589837397430905
51,0.04,400,60,0.574241089821687,0.1627475279978292
52,0.04,400,70,0.5928333741753814,0.18133981235152363
53,0.04,400,80,0.6081634062498943,0.19666984442603652
54,0.04,500,30,0.4838419376409155,0.07234837581705772
55,0.04,500,40,0.6395242989886474,0.2280307371647896
56,0.04,500,50,0.5139318443407744,0.10243828251691667
57,0.04,500,60,0.5323278916486152,0.12083432982475739
58,0.04,500,70,0.552719723590545,0.14122616176668723
59,0.04,500,80,0.5699656879684658,0.15847212614460804
60,0.04,600,30,0.4276237808790628,0.01613021905520501
61,0.04,600,40,0.4419984974290167,0.030504935605158934
62,0.04,600,50,0.46090339545251446,0.049409833628656696
63,0.04,600,60,0.6221756218997191,0.21068206007586132
64,0.04,600,70,0.5040606291868255,0.09256706736296771
65,0.04,600,80,0.5239626949421923,0.11246913311833451
66,0.04,700,30,0.3536983432846685,-0.057795218539189286
67,0.04,700,40,0.3698356257576392,-0.04165793606621859
68,0.04,700,50,0.39117963559508717,-0.020313926228770596
69,0.04,700,60,0.4143249920668397,0.002831430242981936
70,0.04,700,70,0.4403323756470162,0.02883881382315845
71,0.04,700,80,0.4639896226540124,0.05249606083015462
72,0.04,800,30,0.24887992490560706,-0.1626136369182507
73,0.04,800,40,0.2664143512342786,-0.14507921058957918
74,0.04,800,50,0.389131631255271,-0.022361930568586763
75,0.04,800,60,0.3174392868722732,-0.09405427495158458
76,0.04,800,70,0.3483665970426812,-0.06312696478117658
77,0.04,800,80,0.377620902022605,-0.03387265980125276
78,0.04,900,30,0.1006697861809867,-0.31082377564287106
79,0.04,900,40,0.10762629116106191,-0.30386727066279584
